---> Starting with dimension 16  and correlation 0 
Run: 10 out of 10  -  2025-06-11 14:38:41.945071 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:42.017585 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 14:38:42.091978 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 14:38:42.254735 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 14:38:42.32544 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 14:38:42.395458 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 14:38:42.478648 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 14:38:42.549439 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 14:38:42.620684 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 14:38:42.704012 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 14:38:42.776902 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:42.850484 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 14:38:42.923065 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 14:38:43.007914 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 14:38:43.082497 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 14:38:43.167977 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 14:38:43.255214 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 14:38:43.328366 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 14:38:43.403101 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 14:38:43.486746 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 14:38:43.561157 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:43.633811 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 14:38:43.718338 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 14:38:43.793458 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 14:38:43.866621 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 14:38:43.953872 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 14:38:44.025761 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 14:38:44.099584 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 14:38:44.199443 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 14:38:44.270981 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 14:38:44.345145 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:44.432486 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 14:38:44.504838 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 14:38:44.579768 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 14:38:44.665725 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 14:38:44.73745 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 14:38:44.811207 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 14:38:44.884178 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 14:38:44.968558 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 14:38:45.04171 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 14:38:45.114483 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:45.211213 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 14:38:45.283813 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 14:38:45.357536 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 14:38:45.444108 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 14:38:45.518316 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 14:38:45.591974 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 14:38:45.665593 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 14:38:45.750416 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 14:38:45.824714 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 14:38:45.899023 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:45.982997 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 14:38:46.057397 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 14:38:46.140189 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 14:38:46.227869 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 14:38:46.309822 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 14:38:46.383423 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 14:38:46.47293 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 14:38:46.544886 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 14:38:46.619457 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 14:38:46.705513 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:46.777531 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 14:38:46.851364 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 14:38:46.9381 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 14:38:47.010196 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 14:38:47.084393 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 14:38:47.18148 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 14:38:47.254523 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 14:38:47.32872 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 14:38:47.402411 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 14:38:47.487722 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:47.57009 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 14:38:47.651107 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 14:38:47.73752 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 14:38:47.810416 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 14:38:47.883788 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 14:38:47.969311 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 14:38:48.043102 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 14:38:48.117094 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 14:38:48.212959 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 14:38:48.284468 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:48.35782 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 14:38:48.444221 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 14:38:48.517042 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 14:38:48.590782 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 14:38:48.664472 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 14:38:48.749888 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 14:38:48.823572 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 14:38:48.898275 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 14:38:48.983208 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 14:38:49.055869 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:49.138293 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 14:38:49.225357 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 14:38:49.299051 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 14:38:49.374132 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 14:38:49.457876 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 14:38:49.531613 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 14:38:49.605459 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 14:38:49.679772 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 14:38:49.765362 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 14:38:49.839092 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:49.913146 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 14:38:49.997746 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 14:38:50.071911 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 14:38:50.166819 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 14:38:50.239066 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 14:38:50.312823 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 14:38:50.386781 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 14:38:50.472664 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 14:38:50.546405 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 14:38:50.618901 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:50.704022 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 14:38:50.76826 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 14:38:50.832469 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 14:38:50.898271 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 14:38:50.974526 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 14:38:51.040454 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 14:38:51.105487 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 14:38:51.177184 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 14:38:51.256184 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 14:38:51.321229 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:51.3861 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 14:38:51.463314 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 14:38:51.527522 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 14:38:51.593711 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 14:38:51.658294 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 14:38:51.734143 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 14:38:51.799057 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 14:38:51.863506 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 14:38:51.928735 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 14:38:52.003924 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:52.069321 with b: 2 
Run: 2 out of 10  -  2025-06-11 14:38:52.151997 with b: 2 
Run: 3 out of 10  -  2025-06-11 14:38:52.239559 with b: 2 
Run: 4 out of 10  -  2025-06-11 14:38:52.313071 with b: 2 
Run: 5 out of 10  -  2025-06-11 14:38:52.387294 with b: 2 
Run: 6 out of 10  -  2025-06-11 14:38:52.471793 with b: 2 
Run: 7 out of 10  -  2025-06-11 14:38:52.546463 with b: 2 
Run: 8 out of 10  -  2025-06-11 14:38:52.619264 with b: 2 
Run: 9 out of 10  -  2025-06-11 14:38:52.705345 with b: 2 
Run: 10 out of 10  -  2025-06-11 14:38:52.779546 with b: 2 

 20 / 20 
---> Finished with dimension 128  and correlation 0.5 
---> Starting with dimension 256  and correlation 0.5 
Run: 1 out of 10  -  2025-06-11 14:38:52.852953 with b: -2 
Run: 2 out of 10  -  2025-06-11 14:38:53.592941 with b: -2 
Run: 3 out of 10  -  2025-06-11 14:38:54.334058 with b: -2 
Run: 4 out of 10  -  2025-06-11 14:38:55.070489 with b: -2 
Run: 5 out of 10  -  2025-06-11 14:38:55.812661 with b: -2 
Run: 6 out of 10  -  2025-06-11 14:38:56.586396 with b: -2 
Run: 7 out of 10  -  2025-06-11 14:38:57.328226 with b: -2 
Run: 8 out of 10  -  2025-06-11 14:38:58.063601 with b: -2 
Run: 9 out of 10  -  2025-06-11 14:38:58.859187 with b: -2 
Run: 10 out of 10  -  2025-06-11 14:38:59.610119 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:00.374716 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 14:39:01.115327 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 14:39:01.868598 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 14:39:02.640031 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 14:39:03.381348 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 14:39:04.124029 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 14:39:04.862545 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 14:39:05.609007 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 14:39:06.36148 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 14:39:07.101989 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:07.855068 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 14:39:08.604871 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 14:39:09.348835 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 14:39:10.087762 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 14:39:10.83643 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 14:39:11.579618 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 14:39:12.347083 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 14:39:13.084803 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 14:39:14.058884 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 14:39:14.845091 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:15.65453 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 14:39:16.425148 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 14:39:17.189514 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 14:39:17.956839 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 14:39:18.704963 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 14:39:19.44189 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 14:39:20.185411 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 14:39:20.921201 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 14:39:21.672303 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 14:39:22.416002 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:23.16098 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 14:39:23.89781 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 14:39:24.640635 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 14:39:25.384083 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 14:39:26.126996 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 14:39:26.864563 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 14:39:27.605258 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 14:39:28.348975 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 14:39:29.084333 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 14:39:29.829336 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:30.572689 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 14:39:31.316158 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 14:39:32.051672 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 14:39:32.80022 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 14:39:33.541474 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 14:39:34.28689 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 14:39:35.022227 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 14:39:35.766012 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 14:39:36.509566 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 14:39:37.355245 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:38.105806 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 14:39:38.851334 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 14:39:39.628925 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 14:39:40.374177 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 14:39:41.110752 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 14:39:41.851648 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 14:39:42.591594 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 14:39:43.332777 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 14:39:44.082947 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 14:39:44.829531 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:45.569487 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 14:39:46.310317 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 14:39:47.046994 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 14:39:47.793377 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 14:39:48.534093 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 14:39:49.276535 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 14:39:50.012648 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 14:39:50.755016 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 14:39:51.49309 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 14:39:52.250884 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 14:39:52.984447 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 14:39:53.727623 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 14:39:54.468983 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 14:39:55.210006 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 14:39:55.943949 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 14:39:56.687268 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 14:39:57.444547 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 14:39:58.187158 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 14:39:58.922845 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 14:39:59.665596 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:00.408325 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 14:40:01.150571 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 14:40:01.88667 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 14:40:02.641937 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 14:40:03.382098 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 14:40:04.11611 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 14:40:04.859431 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 14:40:05.607658 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 14:40:06.349568 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 14:40:07.085019 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:07.826839 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 14:40:08.573483 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 14:40:09.31394 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 14:40:10.047486 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 14:40:10.792997 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 14:40:11.533103 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 14:40:12.276102 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 14:40:13.027446 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 14:40:13.771423 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 14:40:14.511916 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:15.257893 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 14:40:16.085745 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 14:40:16.918079 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 14:40:17.747453 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 14:40:18.585787 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 14:40:19.416092 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 14:40:20.246798 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 14:40:21.069942 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 14:40:21.900143 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 14:40:22.729975 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:23.592565 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 14:40:24.425459 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 14:40:25.256757 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 14:40:26.080042 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 14:40:26.912153 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 14:40:27.74066 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 14:40:28.573274 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 14:40:29.436892 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 14:40:30.26958 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 14:40:31.094346 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:31.926522 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 14:40:32.755163 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 14:40:33.586247 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 14:40:34.451454 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 14:40:35.282725 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 14:40:36.114722 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 14:40:36.949539 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 14:40:37.879722 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 14:40:38.715571 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 14:40:39.603898 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:40.439255 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 14:40:41.271583 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 14:40:42.09274 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 14:40:42.92245 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 14:40:43.752117 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 14:40:44.617276 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 14:40:45.452982 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 14:40:46.283961 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 14:40:47.105875 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 14:40:47.944358 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:48.780151 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 14:40:49.615789 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 14:40:50.458724 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 14:40:51.298899 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 14:40:52.136642 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 14:40:52.967754 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 14:40:53.799871 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 14:40:54.630372 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 14:40:55.476418 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 14:40:56.309765 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 14:40:57.142437 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 14:40:57.967356 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 14:40:58.801843 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 14:40:59.635896 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 14:41:00.478287 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 14:41:01.311989 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 14:41:02.143789 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 14:41:02.967974 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 14:41:03.799093 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 14:41:04.630806 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 14:41:05.460179 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 14:41:06.292425 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 14:41:07.119856 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 14:41:07.949243 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 14:41:08.789014 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 14:41:09.620056 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 14:41:10.457585 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 14:41:11.329833 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 14:41:12.161708 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 14:41:13.286019 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 14:41:14.45009 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 14:41:15.231017 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 14:41:15.969631 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 14:41:16.730246 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 14:41:17.473152 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 14:41:18.218116 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 14:41:18.952483 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 14:41:19.693563 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 14:41:20.437771 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 14:41:21.181809 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 14:41:21.923713 with b: 2 
Run: 2 out of 10  -  2025-06-11 14:41:22.666248 with b: 2 
Run: 3 out of 10  -  2025-06-11 14:41:23.411616 with b: 2 
Run: 4 out of 10  -  2025-06-11 14:41:24.159876 with b: 2 
Run: 5 out of 10  -  2025-06-11 14:41:24.89828 with b: 2 
Run: 6 out of 10  -  2025-06-11 14:41:25.639072 with b: 2 
Run: 7 out of 10  -  2025-06-11 14:41:26.381749 with b: 2 
